pathway	consistency	p-value	FDR
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.0	1.0	1.0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	0.0	1.0	1.0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.0	1.0	1.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.0	1.0	1.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.0	1.0	1.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.0	1.0	1.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.0	1.0	1.0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	0.0	1.0	1.0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.0	1.0	1.0
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING	0.0	1.0	1.0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.0	1.0	1.0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.0	1.0	1.0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	0.0	1.0	1.0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.0	1.0	1.0
RAY_ALZHEIMERS_DISEASE	0.0	1.0	1.0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.0	1.0	1.0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.0	1.0	1.0
REACTOME_ABC_TRANSPORTER_DISORDERS	0.0	1.0	1.0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.0	1.0	1.0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.0	1.0	1.0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	0.0	1.0	1.0
REACTOME_ABACAVIR_ADME	0.0	1.0	1.0
REACTOME_2_LTR_CIRCLE_FORMATION	0.0	1.0	1.0
RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_UP	0.0	1.0	1.0
RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_DN	0.0	1.0	1.0
RAY_TARGETS_OF_P210_BCR_ABL_FUSION_UP	0.0	1.0	1.0
RAY_TARGETS_OF_P210_BCR_ABL_FUSION_DN	0.0	1.0	1.0
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	0.0	1.0	1.0
REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274	0.0	1.0	1.0
REACTOME_CDC42_GTPASE_CYCLE	0.0	1.0	1.0
REACTOME_BIOLOGICAL_OXIDATIONS	0.0	1.0	1.0
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	0.0	1.0	1.0
REACTOME_BRANCHED_CHAIN_KETOACID_DEHYDROGENASE_KINASE_DEFICIENCY	0.0	1.0	1.0
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0.0	1.0	1.0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	0.0	1.0	1.0
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS	0.0	1.0	1.0
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM	0.0	1.0	1.0
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	0.0	1.0	1.0
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS	0.0	1.0	1.0
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS	0.0	1.0	1.0
REACTOME_BIOSYNTHESIS_OF_MARESINS	0.0	1.0	1.0
REACTOME_BIOSYNTHESIS_OF_LIPOXINS_LX	0.0	1.0	1.0
REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS	0.0	1.0	1.0
REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS	0.0	1.0	1.0
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	0.0	1.0	1.0
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.0	1.0	1.0
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.0	1.0	1.0
REACTOME_BICARBONATE_TRANSPORTERS	0.0	1.0	1.0
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	0.0	1.0	1.0
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS	0.0	1.0	1.0
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA	0.0	1.0	1.0
REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA	0.0	1.0	1.0
REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA	0.0	1.0	1.0
REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA	0.0	1.0	1.0
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA	0.0	1.0	1.0
REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA	0.0	1.0	1.0
REACTOME_BETA_DEFENSINS	0.0	1.0	1.0
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA	0.0	1.0	1.0
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	0.0	1.0	1.0
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	0.0	1.0	1.0
REACTOME_CASP4_MEDIATED_SUBSTRATE_CLEAVAGE	0.0	1.0	1.0
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0.0	1.0	1.0
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.0	1.0	1.0
REACTOME_CD22_MEDIATED_BCR_REGULATION	0.0	1.0	1.0
REACTOME_CD209_DC_SIGN_SIGNALING	0.0	1.0	1.0
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE	0.0	1.0	1.0
REACTOME_CA_DEPENDENT_EVENTS	0.0	1.0	1.0
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS	0.0	1.0	1.0
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.0	1.0	1.0
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	0.0	1.0	1.0
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND	0.0	1.0	1.0
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	0.0	1.0	1.0
REACTOME_CASP5_MEDIATED_SUBSTRATE_CLEAVAGE	0.0	1.0	1.0
REACTOME_CASP4_INFLAMMASOME_ASSEMBLY	0.0	1.0	1.0
REACTOME_CA2_ACTIVATED_K_CHANNELS	0.0	1.0	1.0
REACTOME_CARNITINE_SHUTTLE	0.0	1.0	1.0
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	0.0	1.0	1.0
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.0	1.0	1.0
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	0.0	1.0	1.0
REACTOME_CARDIOGENESIS	0.0	1.0	1.0
REACTOME_CARDIAC_CONDUCTION	0.0	1.0	1.0
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN	0.0	1.0	1.0
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	0.0	1.0	1.0
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	0.0	1.0	1.0
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS	0.0	1.0	1.0
REACTOME_CALCINEURIN_ACTIVATES_NFAT	0.0	1.0	1.0
REACTOME_CA2_PATHWAY	0.0	1.0	1.0
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	0.0	1.0	1.0
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	0.0	1.0	1.0
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.0	1.0	1.0
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.0	1.0	1.0
REACTOME_ARACHIDONATE_METABOLISM	0.0	1.0	1.0
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.0	1.0	1.0
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	0.0	1.0	1.0
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.0	1.0	1.0
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.0	1.0	1.0
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.0	1.0	1.0
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.0	1.0	1.0
REACTOME_APOPTOSIS	0.0	1.0	1.0
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION	0.0	1.0	1.0
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.0	1.0	1.0
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	0.0	1.0	1.0
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.0	1.0	1.0
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.0	1.0	1.0
REACTOME_ARMS_MEDIATED_ACTIVATION	0.0	1.0	1.0
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	0.0	1.0	1.0
REACTOME_ANTIMICROBIAL_PEPTIDES	0.0	1.0	1.0
REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	0.0	1.0	1.0
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	0.0	1.0	1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.0	1.0	1.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.0	1.0	1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	0.0	1.0	1.0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.0	1.0	1.0
REACTOME_ANDROGEN_BIOSYNTHESIS	0.0	1.0	1.0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.0	1.0	1.0
REACTOME_ANCHORING_FIBRIL_FORMATION	0.0	1.0	1.0
REACTOME_AMYLOID_FIBER_FORMATION	0.0	1.0	1.0
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	0.0	1.0	1.0
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING	0.0	1.0	1.0
REACTOME_BASIGIN_INTERACTIONS	0.0	1.0	1.0
REACTOME_ATORVASTATIN_ADME	0.0	1.0	1.0
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	0.0	1.0	1.0
REACTOME_BASE_EXCISION_REPAIR	0.0	1.0	1.0
REACTOME_BACTERIAL_INFECTION_PATHWAYS	0.0	1.0	1.0
REACTOME_AZATHIOPRINE_ADME	0.0	1.0	1.0
REACTOME_AUTOPHAGY	0.0	1.0	1.0
REACTOME_AURKA_ACTIVATION_BY_TPX2	0.0	1.0	1.0
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	0.0	1.0	1.0
REACTOME_ATTENUATION_PHASE	0.0	1.0	1.0
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	0.0	1.0	1.0
REACTOME_ATTACHMENT_OF_BACTERIA_TO_EPITHELIAL_CELLS	0.0	1.0	1.0
REACTOME_ATTACHMENT_AND_ENTRY	0.0	1.0	1.0
REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	0.0	1.0	1.0
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES	0.0	1.0	1.0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.0	1.0	1.0
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES	0.0	1.0	1.0
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0.0	1.0	1.0
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	0.0	1.0	1.0
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.0	1.0	1.0
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	0.0	1.0	1.0
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION	0.0	1.0	1.0
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.0	1.0	1.0
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES	0.0	1.0	1.0
REACTOME_ASSEMBLY_AND_RELEASE_OF_DENGUE_VIRUS_VIRIONS	0.0	1.0	1.0
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.0	1.0	1.0
REACTOME_ASPIRIN_ADME	0.0	1.0	1.0
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM	0.0	1.0	1.0
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.0	1.0	1.0
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.0	1.0	1.0
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	0.0	1.0	1.0
REACTOME_INTERLEUKIN_35_SIGNALLING	0.0	1.0	1.0
REACTOME_INTRAFLAGELLAR_TRANSPORT	0.0	1.0	1.0
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.0	1.0	1.0
REACTOME_INTESTINAL_ABSORPTION	0.0	1.0	1.0
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_9_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_7_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_6_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_37_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_36_PATHWAY	0.0	1.0	1.0
REACTOME_INTERLEUKIN_2_SIGNALING	0.0	1.0	1.0
REACTOME_INTRA_GOLGI_TRAFFIC	0.0	1.0	1.0
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_27_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_23_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_21_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_1_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_1_PROCESSING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_18_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_17_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_15_SIGNALING	0.0	1.0	1.0
REACTOME_INTERLEUKIN_12_SIGNALING	0.0	1.0	1.0
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.0	1.0	1.0
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.0	1.0	1.0
REACTOME_INTERLEUKIN_10_SIGNALING	0.0	1.0	1.0
REACTOME_IRS_MEDIATED_SIGNALLING	0.0	1.0	1.0
REACTOME_KINESINS	0.0	1.0	1.0
REACTOME_KILLING_MECHANISMS	0.0	1.0	1.0
REACTOME_KIDNEY_DEVELOPMENT	0.0	1.0	1.0
REACTOME_KETONE_BODY_METABOLISM	0.0	1.0	1.0
REACTOME_KERATINIZATION	0.0	1.0	1.0
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	0.0	1.0	1.0
REACTOME_KERATAN_SULFATE_DEGRADATION	0.0	1.0	1.0
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.0	1.0	1.0
REACTOME_KEAP1_NFE2L2_PATHWAY	0.0	1.0	1.0
REACTOME_JOSEPHIN_DOMAIN_DUBS	0.0	1.0	1.0
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	0.0	1.0	1.0
REACTOME_ISG15_ANTIVIRAL_MECHANISM	0.0	1.0	1.0
REACTOME_IRS_ACTIVATION	0.0	1.0	1.0
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.0	1.0	1.0
REACTOME_IRON_UPTAKE_AND_TRANSPORT	0.0	1.0	1.0
REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN	0.0	1.0	1.0
REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN	0.0	1.0	1.0
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES	0.0	1.0	1.0
REACTOME_IRAK4_DEFICIENCY_TLR2_4	0.0	1.0	1.0
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX	0.0	1.0	1.0
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.0	1.0	1.0
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	0.0	1.0	1.0
REACTOME_ION_HOMEOSTASIS	0.0	1.0	1.0
REACTOME_ION_CHANNEL_TRANSPORT	0.0	1.0	1.0
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.0	1.0	1.0
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.0	1.0	1.0
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING	0.0	1.0	1.0
REACTOME_INTERFERON_SIGNALING	0.0	1.0	1.0
REACTOME_L1CAM_INTERACTIONS	0.0	1.0	1.0
REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA	0.0	1.0	1.0
REACTOME_INDUCTION_OF_CELL_CELL_FUSION	0.0	1.0	1.0
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.0	1.0	1.0
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING	0.0	1.0	1.0
REACTOME_INACTIVATION_OF_CDC42_AND_RAC1	0.0	1.0	1.0
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.0	1.0	1.0
REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS	0.0	1.0	1.0
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.0	1.0	1.0
REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID	0.0	1.0	1.0
REACTOME_IFNG_SIGNALING_ACTIVATES_MAPKS	0.0	1.0	1.0
REACTOME_HYDROLYSIS_OF_LPC	0.0	1.0	1.0
REACTOME_HYALURONAN_METABOLISM	0.0	1.0	1.0
REACTOME_HYALURONAN_DEGRADATION	0.0	1.0	1.0
REACTOME_HS_GAG_DEGRADATION	0.0	1.0	1.0
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS	0.0	1.0	1.0
REACTOME_HS_GAG_BIOSYNTHESIS	0.0	1.0	1.0
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	0.0	1.0	1.0
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	0.0	1.0	1.0
REACTOME_HSF1_ACTIVATION	0.0	1.0	1.0
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.0	1.0	1.0
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	0.0	1.0	1.0
REACTOME_HOMOLOGY_DIRECTED_REPAIR	0.0	1.0	1.0
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE	0.0	1.0	1.0
REACTOME_HIV_TRANSCRIPTION_INITIATION	0.0	1.0	1.0
REACTOME_HIV_TRANSCRIPTION_ELONGATION	0.0	1.0	1.0
REACTOME_HIV_LIFE_CYCLE	0.0	1.0	1.0
REACTOME_HIV_INFECTION	0.0	1.0	1.0
REACTOME_INFECTION_WITH_ENTEROBACTERIA	0.0	1.0	1.0
REACTOME_INFECTIOUS_DISEASE	0.0	1.0	1.0
REACTOME_INTERFERON_GAMMA_SIGNALING	0.0	1.0	1.0
REACTOME_INSULIN_PROCESSING	0.0	1.0	1.0
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.0	1.0	1.0
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.0	1.0	1.0
REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA	0.0	1.0	1.0
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.0	1.0	1.0
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.0	1.0	1.0
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	0.0	1.0	1.0
REACTOME_INTEGRIN_SIGNALING	0.0	1.0	1.0
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.0	1.0	1.0
REACTOME_INTEGRATION_OF_PROVIRUS	0.0	1.0	1.0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.0	1.0	1.0
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.0	1.0	1.0
REACTOME_INSULIN_RECEPTOR_RECYCLING	0.0	1.0	1.0
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE	0.0	1.0	1.0
REACTOME_INFLAMMASOMES	0.0	1.0	1.0
REACTOME_INOSITOL_PHOSPHATE_METABOLISM	0.0	1.0	1.0
REACTOME_INORGANIC_ANION_EXCHANGE_BY_SLC26_TRANSPORTERS	0.0	1.0	1.0
REACTOME_INNATE_IMMUNE_SYSTEM	0.0	1.0	1.0
REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL	0.0	1.0	1.0
REACTOME_INLA_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELLS	0.0	1.0	1.0
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION	0.0	1.0	1.0
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.0	1.0	1.0
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.0	1.0	1.0
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	0.0	1.0	1.0
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	0.0	1.0	1.0
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.0	1.0	1.0
REACTOME_INFLUENZA_INFECTION	0.0	1.0	1.0
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	0.0	1.0	1.0
REACTOME_LAGGING_STRAND_SYNTHESIS	0.0	1.0	1.0
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.0	1.0	1.0
REACTOME_METALLOTHIONEINS_BIND_METALS	0.0	1.0	1.0
REACTOME_MET_RECEPTOR_ACTIVATION	0.0	1.0	1.0
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.0	1.0	1.0
REACTOME_MET_INTERACTS_WITH_TNS_PROTEINS	0.0	1.0	1.0
REACTOME_MET_ACTIVATES_RAS_SIGNALING	0.0	1.0	1.0
REACTOME_MET_ACTIVATES_RAP1_AND_RAC1	0.0	1.0	1.0
REACTOME_MET_ACTIVATES_PTPN11	0.0	1.0	1.0
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.0	1.0	1.0
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING	0.0	1.0	1.0
REACTOME_METHYLATION	0.0	1.0	1.0
REACTOME_METHIONINE_SALVAGE_PATHWAY	0.0	1.0	1.0
REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS	0.0	1.0	1.0
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.0	1.0	1.0
REACTOME_METALLOPROTEASE_DUBS	0.0	1.0	1.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.0	1.0	1.0
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	0.0	1.0	1.0
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.0	1.0	1.0
REACTOME_METABOLISM_OF_STEROID_HORMONES	0.0	1.0	1.0
REACTOME_METABOLISM_OF_STEROIDS	0.0	1.0	1.0
REACTOME_METABOLISM_OF_RNA	0.0	1.0	1.0
REACTOME_METABOLISM_OF_PORPHYRINS	0.0	1.0	1.0
REACTOME_METABOLISM_OF_POLYAMINES	0.0	1.0	1.0
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.0	1.0	1.0
REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION	0.0	1.0	1.0
